locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
Louisiana,Age Related Macular Degeneration,Wet-form age-related macular degeneration,65 years and older,All genders,"Black, non-Hispanic",0.07,0.05,0.31,130.0,55200.0,22,-92.44568007099,31.312660644
South Dakota,Other Retinal Disorders,Retinopathy of prematurity,18-39 years,Male,"Hispanic, any race",0.0,0.0,1.7,40.0,220.0,46,-100.3735306369,44.353130053
Mississippi,Infectious and Inflammatory Diseases,Keratitis,65 years and older,Male,All races,0.0,0.0,2.68,90.0,140.0,28,-89.53803082499,32.745510099
Maine,Other Visual Disturbances,All Other visual disturbances,All ages,Female,"Black, non-Hispanic",3.93,3.43,4.49,210.0,5300.0,23,-68.98503133599,45.254228894
Oregon,Age Related Macular Degeneration,Dry-form age-related macular degeneration,85 years and older,All genders,Asian,0.08,0.04,0.33,70.0,7000.0,41,-120.1550313259,44.567449424
Nebraska,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,40 years and older,Female,Unknown,0.0,0.0,0.64,30.0,570.0,31,-99.36572062299,41.641040988
Ohio,Orbital and External Disease,Eyelid disorders,40 years and older,Male,North American Native,0.61,0.25,1.25,130.0,1100.0,39,-82.40426005599,40.060210141
Puerto Rico,Age Related Macular Degeneration,Advanced GA or Inactive CNV,40 years and older,Female,"Black, non-Hispanic",0.0,0.0,5.87,90.0,60.0,72,-66.590149,18.220833
California,Glaucoma,Suspect or unclassified glaucoma,40-64 years,Female,Asian,2.13,2.07,2.19,4300.0,203800.0,6,-120.9999995379,37.638640123
Illinois,Cornea Disorders,Endothelial dystrophy (Fuchs),18 years and older,Male,North American Native,0.0,0.0,0.25,120.0,1400.0,17,-88.99771017799,40.485010283
Missouri,Diabetic Eye Diseases,All Diabetic eye diseases,65-84 years,Male,All races,2.21,1.66,2.88,50.0,2400.0,29,-92.56630005299,38.635790776
Puerto Rico,Other Retinal Disorders,Branch retinal artery occlusion,65-84 years,All genders,Unknown,0.0,0.0,0.07,90.0,5400.0,72,-66.590149,18.220833
Kansas,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,All ages,Male,Unknown,0.18,0.16,0.21,260.0,141000.0,20,-98.20078122699,38.3477403
Maine,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,65 years and older,All genders,All races,0.0,0.0,1.83,50.0,200.0,23,-68.98503133599,45.254228894
Florida,Diabetic Eye Diseases,Other diabetes related eye disorders,40-64 years,Male,All races,0.3,0.27,0.33,410.0,134700.0,12,-81.92896053899,28.932040377
Maryland,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,All ages,All genders,North American Native,5.54,4.95,6.17,310.0,5600.0,24,-76.60926011099,39.290580964
Wisconsin,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,85 years and older,Female,"White, non-Hispanic",0.04,0.02,0.33,70.0,13100.0,55,-89.81637074199,44.393191174
District Of Columbia,Diabetic Eye Diseases,Proliferative diabetic retinopathy,All ages,Male,Unknown,0.09,0.06,0.13,30.0,33200.0,11,-77.03196112699,38.890371385
Nebraska,Orbital and External Disease,Disorders of the globe,40 years and older,All genders,Unknown,0.0,0.0,0.36,30.0,1000.0,31,-99.36572062299,41.641040988
National,Orbital and External Disease,All Orbital and external disease,0-17 years,All genders,"Hispanic, any race",0.85,0.85,0.86,76200.0,8923400.0,59,-93.23609634939444,40.43953357133333
Indiana,Orbital and External Disease,Other/unspecified orbital and external disease,18 years and older,All genders,"Hispanic, any race",0.04,0.02,0.33,70.0,15400.0,18,-86.14996019399,39.766910452
Ohio,Infectious and Inflammatory Diseases,Keratitis,0-17 years,All genders,Unknown,0.05,0.04,0.06,50.0,104500.0,39,-82.40426005599,40.060210141
New Mexico,Glaucoma,Other/unspecified glaucoma,0-17 years,Male,"Black, non-Hispanic",0.0,0.0,0.12,80.0,3100.0,35,-106.2405809849,34.520880952
Kansas,Cornea Disorders,Keratoconus,85 years and older,All genders,Unknown,0.0,0.0,2.91,70.0,130.0,20,-98.20078122699,38.3477403
Delaware,Age Related Macular Degeneration,Unspecified-age related macular degeneration,18 years and older,Male,"Black, non-Hispanic",0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Washington,Diabetic Eye Diseases,Proliferative diabetic retinopathy,18 years and older,Female,"Black, non-Hispanic",0.14,0.11,0.18,60.0,40000.0,53,-120.4700107899,47.522278629
District Of Columbia,Other Retinal Disorders,All Other retinal disorders,65-84 years,Male,North American Native,0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
Louisiana,Cornea Disorders,All Cornea disorders,18-39 years,Male,Unknown,0.22,0.19,0.26,150.0,68600.0,22,-92.44568007099,31.312660644
Pennsylvania,Age Related Macular Degeneration,Wet-form age-related macular degeneration,0-17 years,All genders,North American Native,0.0,0.0,0.14,160.0,2600.0,42,-77.86070029399,40.793730152
Pennsylvania,Cancer and Neoplasms of the Eye,Malignant neoplasm,0-17 years,Male,"White, non-Hispanic",0.03,0.02,0.03,90.0,322400.0,42,-77.86070029399,40.793730152
West Virginia,Age Related Macular Degeneration,Advanced GA or Inactive CNV,40 years and older,Male,Unknown,0.02,0.01,0.05,60.0,24200.0,54,-80.71264013499,38.665510202
Illinois,Other Visual Disturbances,Color blindness,65 years and older,Female,North American Native,0.0,0.0,9.74,120.0,40.0,17,-88.99771017799,40.485010283
Washington,Orbital and External Disease,Other/unspecified orbital and external disease,40 years and older,All genders,North American Native,0.08,0.03,0.19,90.0,6000.0,53,-120.4700107899,47.522278629
National,Other Retinal Disorders,Myopic degeneration,85 years and older,Male,"Hispanic, any race",0.16,0.13,0.2,890.0,509300.0,59,-93.23609634939444,40.43953357133333
Connecticut,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",40 years and older,All genders,Asian,0.71,0.55,0.92,60.0,8700.0,9,-72.64984095199,41.56266102
West Virginia,Cornea Disorders,Corneal transplant,0-17 years,Female,"White, non-Hispanic",0.0,0.0,0.01,60.0,57900.0,54,-80.71264013499,38.665510202
Massachusetts,Other Eye Disorders,Other eye disorders,40 years and older,Female,Other,0.13,0.09,0.45,110.0,20200.0,25,-72.08269067499,42.27687047
Maryland,Diabetic Eye Diseases,All Diabetic eye diseases,65 years and older,Male,Asian,0.06,0.04,0.38,120.0,27500.0,24,-76.60926011099,39.290580964
Maryland,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,40 years and older,All genders,Asian,0.06,0.04,0.38,120.0,27500.0,24,-76.60926011099,39.290580964
Mississippi,Diabetic Eye Diseases,Severe non-proliferative,All ages,Male,"Hispanic, any race",0.0,0.0,0.2,90.0,1800.0,28,-89.53803082499,32.745510099
Connecticut,Other Retinal Disorders,Central retinal arterial occlusion,65-84 years,Male,"White, non-Hispanic",0.0,0.0,0.26,100.0,1400.0,9,-72.64984095199,41.56266102
District Of Columbia,Diabetic Eye Diseases,Diabetic macular edema,0-17 years,Male,North American Native,0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
New Mexico,Age Related Macular Degeneration,Unspecified-age related macular degeneration,0-17 years,Female,All races,0.07,0.04,0.29,80.0,11900.0,35,-106.2405809849,34.520880952
Michigan,Age Related Macular Degeneration,Non-vision threatening stage,All ages,Male,Asian,0.1,0.04,0.22,110.0,6000.0,26,-84.71439026999,44.661319543
District Of Columbia,Diabetic Eye Diseases,Vision threatening stage,40-64 years,All genders,"White, non-Hispanic",0.6,0.16,1.53,50.0,670.0,11,-77.03196112699,38.890371385
Mississippi,Other Visual Disturbances,Night blindness,40 years and older,Male,Unknown,0.01,0.0,0.64,90.0,3400.0,28,-89.53803082499,32.745510099
Texas,Cornea Disorders,Cornea disorder related to contact lens,65 years and older,Female,Other,0.07,0.05,0.34,120.0,26600.0,48,-99.42677020599,31.827240407
Oklahoma,Other Retinal Disorders,Central retinal arterial occlusion,65 years and older,Male,"Hispanic, any race",0.0,0.0,2.22,60.0,160.0,40,-97.52107021399,35.472031356
Florida,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,All ages,Male,Unknown,0.29,0.27,0.31,700.0,242300.0,12,-81.92896053899,28.932040377
New Mexico,Other Retinal Disorders,Retinopathy of prematurity,40-64 years,Male,Asian,0.0,0.0,0.5,80.0,740.0,35,-106.2405809849,34.520880952
South Carolina,Other Retinal Disorders,Occlusive retinal vascular disease,40 years and older,Female,All races,0.01,0.0,0.02,90.0,63500.0,45,-81.04537120699,33.998821303
District Of Columbia,Other Retinal Disorders,Branch retinal artery occlusion,0-17 years,All genders,"Black, non-Hispanic",0.0,0.0,0.01,50.0,47400.0,11,-77.03196112699,38.890371385
Oklahoma,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,65 years and older,Male,North American Native,0.0,0.0,2.95,60.0,120.0,40,-97.52107021399,35.472031356
South Carolina,Other Retinal Disorders,Central retinal vein occlusion,0-17 years,Female,Unknown,0.0,0.0,0.0,90.0,136400.0,45,-81.04537120699,33.998821303
Minnesota,Cancer and Neoplasms of the Eye,Benign neoplasm,65 years and older,Female,Other,0.1,0.06,0.4,80.0,13100.0,27,-94.79420050299,46.355648736
Ohio,Other Retinal Disorders,Non-Occlusive retinal vascular disease,65-84 years,Female,North American Native,0.0,0.0,5.52,130.0,70.0,39,-82.40426005599,40.060210141
California,Glaucoma,All Glaucoma,All ages,Male,"White, non-Hispanic",0.6,0.58,0.61,6300.0,1058800.0,6,-120.9999995379,37.638640123
Missouri,Age Related Macular Degeneration,Dry-form age-related macular degeneration,18 years and older,Male,North American Native,0.0,0.0,1.75,60.0,210.0,29,-92.56630005299,38.635790776
New Jersey,Age Related Macular Degeneration,Geographic atrophy,18-39 years,Female,All races,0.21,0.14,0.48,120.0,29000.0,34,-74.27369128799,40.130570048
Louisiana,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,40-64 years,All genders,"Black, non-Hispanic",4.6299999999,4.5,4.77,4300.0,92700.0,22,-92.44568007099,31.312660644
South Dakota,Glaucoma,All Glaucoma,40 years and older,Female,Other,0.0,0.0,0.61,40.0,1750.0,46,-100.3735306369,44.353130053
South Dakota,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),85 years and older,All genders,"White, non-Hispanic",0.0,0.0,0.61,40.0,1750.0,46,-100.3735306369,44.353130053
New Mexico,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,65 years and older,Male,"Black, non-Hispanic",0.07,0.04,0.29,80.0,11900.0,35,-106.2405809849,34.520880952
New Jersey,Other Retinal Disorders,Branch retinal artery occlusion,18-39 years,Male,"White, non-Hispanic",0.0,0.0,0.0,120.0,87100.0,34,-74.27369128799,40.130570048
Wisconsin,Glaucoma,Secondary glaucoma,40 years and older,Male,"Black, non-Hispanic",0.12,0.07,0.18,20.0,17700.0,55,-89.81637074199,44.393191174
South Dakota,Cornea Disorders,Corneal transplant,18-39 years,Male,All races,0.0,0.0,0.06,40.0,5900.0,46,-100.3735306369,44.353130053
Louisiana,Age Related Macular Degeneration,Vision threatening stage,18 years and older,Male,Asian,0.07,0.05,0.31,130.0,55200.0,22,-92.44568007099,31.312660644
New York,Other Visual Disturbances,Visual field defect,85 years and older,Female,All races,0.13,0.04,0.3,240.0,3800.0,36,-75.54397042699,42.827001032
Louisiana,Other Visual Disturbances,Visual field defect,All ages,Male,"Hispanic, any race",0.06,0.04,0.08,30.0,49900.0,22,-92.44568007099,31.312660644
South Dakota,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,85 years and older,Male,North American Native,0.0,0.0,0.61,40.0,1750.0,46,-100.3735306369,44.353130053
Hawaii,Orbital and External Disease,Lacrimal diseases,40-64 years,Female,All races,0.15,0.11,0.19,60.0,38400.0,15,-157.8577494029,21.304850435
Michigan,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,65 years and older,Female,"Hispanic, any race",1.51,0.61,3.08,110.0,470.0,26,-84.71439026999,44.661319543
North Dakota,Other Visual Disturbances,Visual field defect,40-64 years,Male,"Hispanic, any race",0.0,0.0,0.46,30.0,2000.0,38,-100.1184210489,47.475319779
Oregon,Glaucoma,Suspect or unclassified glaucoma,65 years and older,Female,"White, non-Hispanic",1.82,1.43,2.28,70.0,4000.0,41,-120.1550313259,44.567449424
Oregon,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),18 years and older,All genders,All races,0.02,0.02,0.02,120.0,635800.0,41,-120.1550313259,44.567449424
Hawaii,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,All ages,All genders,"White, non-Hispanic",3.9,3.74,4.06,2200.0,56600.0,15,-157.8577494029,21.304850435
Missouri,Age Related Macular Degeneration,Vision threatening stage,65-84 years,Female,Unknown,1.72,0.83,3.14,60.0,580.0,29,-92.56630005299,38.635790776
Puerto Rico,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,40 years and older,Female,"Black, non-Hispanic",0.0,0.0,5.87,90.0,60.0,72,-66.590149,18.220833
Wyoming,Infectious and Inflammatory Diseases,Conjunctivitis,40 years and older,Male,Asian,0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Florida,Other Retinal Disorders,All Other retinal disorders,65-84 years,Female,Asian,4.28,3.13,5.7,40.0,1000.0,12,-81.92896053899,28.932040377
New Jersey,Age Related Macular Degeneration,Non-vision threatening stage,65-84 years,Female,"Black, non-Hispanic",3.31,2.38,4.46,40.0,1200.0,34,-74.27369128799,40.130570048
Ohio,Age Related Macular Degeneration,Choroidal neovascularization,65 years and older,All genders,"White, non-Hispanic",0.3,0.2,0.43,30.0,10300.0,39,-82.40426005599,40.060210141
North Dakota,Cornea Disorders,All Cornea disorders,18 years and older,Female,North American Native,0.29,0.16,0.47,10.0,5200.0,38,-100.1184210489,47.475319779
Delaware,Cornea Disorders,Other corneal disorders,85 years and older,All genders,Other,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Ohio,Cornea Disorders,Other corneal disorders,40-64 years,Male,Unknown,0.38,0.3,0.47,80.0,21500.0,39,-82.40426005599,40.060210141
South Carolina,Other Visual Disturbances,Visual field defect,65 years and older,Female,"White, non-Hispanic",0.0,0.0,2.32,90.0,160.0,45,-81.04537120699,33.998821303
Hawaii,Cornea Disorders,Keratoconus,18 years and older,All genders,Asian,0.1,0.07,0.12,60.0,59700.0,15,-157.8577494029,21.304850435
Maine,Other Eye Disorders,Other eye disorders,65-84 years,Female,"White, non-Hispanic",7.6899999999,2.54,17.05,50.0,70.0,23,-68.98503133599,45.254228894
Virginia,Other Retinal Disorders,Myopic degeneration,All ages,Female,Other,0.07,0.04,0.36,70.0,8800.0,51,-78.45789046299,37.542680674
Mississippi,Diabetic Eye Diseases,All Diabetic eye diseases,40 years and older,Female,"Black, non-Hispanic",3.46,3.2,3.74,610.0,17700.0,28,-89.53803082499,32.745510099
Mississippi,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,40 years and older,All genders,"Hispanic, any race",5.33,1.47,13.1,90.0,80.0,28,-89.53803082499,32.745510099
Michigan,Age Related Macular Degeneration,Unspecified-age related macular degeneration,40-64 years,All genders,Other,0.0,0.0,0.76,110.0,480.0,26,-84.71439026999,44.661319543
New Hampshire,Infectious and Inflammatory Diseases,Conjunctivitis,0-17 years,All genders,"Black, non-Hispanic",2.95,2.31,3.7,70.0,2400.0,33,-71.50036091999,43.655950113
Mississippi,Age Related Macular Degeneration,Geographic atrophy,All ages,Female,"Hispanic, any race",0.0,0.0,0.16,90.0,2300.0,28,-89.53803082499,32.745510099
Minnesota,Other Retinal Disorders,Branch retinal vein occlusion,65-84 years,Male,"Hispanic, any race",0.0,0.0,2.95,80.0,120.0,27,-94.79420050299,46.355648736
Maine,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,18 years and older,Male,"White, non-Hispanic",2.15,2.0,2.3,770.0,35600.0,23,-68.98503133599,45.254228894
Puerto Rico,Glaucoma,Secondary glaucoma,0-17 years,Female,"Hispanic, any race",0.0,0.0,0.0,90.0,125800.0,72,-66.590149,18.220833
Georgia,Cornea Disorders,Keratoconus,40-64 years,All genders,All races,0.08,0.07,0.09,130.0,158300.0,13,-83.62758034599,32.839681093
Ohio,Other Visual Disturbances,All Other visual disturbances,65 years and older,All genders,North American Native,0.14,0.09,0.35,130.0,21500.0,39,-82.40426005599,40.060210141
Texas,Retinal Detachment and Defects,Retinal detachment and defects,0-17 years,All genders,North American Native,0.04,0.01,0.12,120.0,7200.0,48,-99.42677020599,31.827240407
Arkansas,Cornea Disorders,Cornea disorder related to contact lens,18 years and older,Female,"Hispanic, any race",0.03,0.02,0.05,20.0,65100.0,5,-92.27449074299,34.748650124
Nebraska,Cornea Disorders,Corneal transplant,40-64 years,Female,Unknown,0.0,0.0,0.79,30.0,460.0,31,-99.36572062299,41.641040988
Iowa,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),85 years and older,Male,Asian,0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
North Carolina,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,85 years and older,Female,All races,4.8199999999,3.34,6.7,30.0,690.0,37,-79.15925046299,35.466220975
Wyoming,Diabetic Eye Diseases,Non-proliferative,18 years and older,All genders,"White, non-Hispanic",0.0,0.0,1.72,20.0,210.0,56,-108.1098303529,43.235541343
Massachusetts,Orbital and External Disease,Lacrimal diseases,All ages,Male,All races,0.08,0.07,0.08,510.0,662200.0,25,-72.08269067499,42.27687047
Indiana,Age Related Macular Degeneration,Advanced GA or Inactive CNV,18-39 years,Female,"Black, non-Hispanic",0.04,0.02,0.33,70.0,15400.0,18,-86.14996019399,39.766910452
New Mexico,Cornea Disorders,Keratoconus,65-84 years,Male,"White, non-Hispanic",0.0,0.0,4.45,80.0,80.0,35,-106.2405809849,34.520880952
New Mexico,Age Related Macular Degeneration,Wet-form age-related macular degeneration,18-39 years,Female,Unknown,0.0,0.0,0.17,80.0,2200.0,35,-106.2405809849,34.520880952
New York,Orbital and External Disease,Eyelid disorders,65 years and older,All genders,"Black, non-Hispanic",0.88,0.72,1.07,100.0,11000.0,36,-75.54397042699,42.827001032
Virginia,Cancer and Neoplasms of the Eye,Malignant neoplasm,0-17 years,Female,Unknown,0.07,0.04,0.36,70.0,8800.0,51,-78.45789046299,37.542680674
Puerto Rico,Orbital and External Disease,Dry eye syndrome,All ages,Female,Asian,0.01,0.0,0.26,90.0,15100.0,72,-66.590149,18.220833
Iowa,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,40-64 years,Female,Asian,0.5,0.22,0.99,70.0,1600.0,19,-93.81649055599,42.469400913
South Carolina,Cornea Disorders,Cornea disorder related to contact lens,All ages,Male,All races,0.01,0.0,0.01,20.0,434600.0,45,-81.04537120699,33.998821303
Oklahoma,Glaucoma,Suspect or unclassified glaucoma,40 years and older,Male,All races,0.88,0.77,1.0,240.0,27600.0,40,-97.52107021399,35.472031356
Kentucky,Glaucoma,Other/unspecified glaucoma,40 years and older,All genders,All races,0.1,0.09,0.11,310.0,308500.0,21,-84.77497104799,37.645970271
Maryland,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,All ages,All genders,All races,0.02,0.01,0.02,220.0,1333500.0,24,-76.60926011099,39.290580964
Wisconsin,Diabetic Eye Diseases,Proliferative diabetic retinopathy,85 years and older,Female,Asian,0.0,0.0,7.71,70.0,50.0,55,-89.81637074199,44.393191174
Texas,Infectious and Inflammatory Diseases,Infectious diseases,18 years and older,All genders,"Black, non-Hispanic",0.13,0.11,0.14,250.0,192900.0,48,-99.42677020599,31.827240407
New York,Cornea Disorders,Corneal transplant,18-39 years,All genders,"White, non-Hispanic",0.0,0.0,0.0,240.0,540100.0,36,-75.54397042699,42.827001032
Montana,Age Related Macular Degeneration,Choroidal neovascularization,65-84 years,Male,"Hispanic, any race",0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
Arkansas,Glaucoma,Primary angle-closure glaucoma,18 years and older,Female,"White, non-Hispanic",0.06,0.04,0.07,80.0,154200.0,5,-92.27449074299,34.748650124
National,Age Related Macular Degeneration,Geographic atrophy,All ages,Male,Asian,0.01,0.01,0.01,90.0,1315700.0,59,-93.23609634939444,40.43953357133333
Michigan,Retinal Detachment and Defects,Retinal detachment and defects,65-84 years,All genders,Unknown,0.08,0.05,0.34,110.0,11900.0,26,-84.71439026999,44.661319543
South Carolina,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,0-17 years,All genders,Other,0.0,0.0,1.03,90.0,360.0,45,-81.04537120699,33.998821303
National,Infectious and Inflammatory Diseases,Infectious diseases,18 years and older,Male,Other,0.09,0.07,0.11,90.0,99600.0,59,-93.23609634939444,40.43953357133333
Wyoming,Diabetic Eye Diseases,Non-vision threatening stage,18 years and older,Male,"Hispanic, any race",0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
New York,Other Visual Disturbances,All Other visual disturbances,65-84 years,All genders,Asian,1.21,1.07,1.36,260.0,21800.0,36,-75.54397042699,42.827001032
Mississippi,Diabetic Eye Diseases,Proliferative diabetic retinopathy,65-84 years,Male,"Black, non-Hispanic",0.0,0.0,5.21,90.0,70.0,28,-89.53803082499,32.745510099
Iowa,Glaucoma,Primary angle-closure glaucoma,18 years and older,Male,North American Native,0.0,0.0,0.28,70.0,1300.0,19,-93.81649055599,42.469400913
Puerto Rico,Cornea Disorders,Cornea disorder related to contact lens,All ages,All genders,Other,0.01,0.0,0.26,90.0,15100.0,72,-66.590149,18.220833
Connecticut,Glaucoma,Primary angle-closure glaucoma,18 years and older,Male,"White, non-Hispanic",0.16,0.14,0.19,150.0,94000.0,9,-72.64984095199,41.56266102
New Hampshire,Other Visual Disturbances,All Other visual disturbances,18-39 years,Female,"White, non-Hispanic",0.99,0.89,1.11,320.0,31800.0,33,-71.50036091999,43.655950113
Iowa,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,40-64 years,Female,"White, non-Hispanic",0.23,0.19,0.28,100.0,41400.0,19,-93.81649055599,42.469400913
Delaware,Orbital and External Disease,Lacrimal diseases,40-64 years,Male,All races,0.06,0.04,0.11,10.0,23400.0,10,-75.57774116799,39.008830667
New York,Other Retinal Disorders,Branch retinal artery occlusion,40-64 years,All genders,Other,0.0,0.0,0.12,240.0,3200.0,36,-75.54397042699,42.827001032
Mississippi,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,65-84 years,All genders,"White, non-Hispanic",0.0,0.0,4.51,90.0,80.0,28,-89.53803082499,32.745510099
Connecticut,Diabetic Eye Diseases,Non-vision threatening stage,18-39 years,All genders,North American Native,0.15,0.03,0.44,100.0,2000.0,9,-72.64984095199,41.56266102
California,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,18 years and older,Female,"Hispanic, any race",1.03,1.01,1.04,17000.0,1657000.0,6,-120.9999995379,37.638640123
Maine,Cornea Disorders,Cornea disorder related to contact lens,18-39 years,All genders,"White, non-Hispanic",0.05,0.04,0.08,30.0,54200.0,23,-68.98503133599,45.254228894
South Carolina,Orbital and External Disease,All Orbital and external disease,65 years and older,Female,"Hispanic, any race",11.54,2.45,30.15,90.0,30.0,45,-81.04537120699,33.998821303
Nevada,Glaucoma,Primary angle-closure glaucoma,40-64 years,Male,Other,0.0,0.0,0.4,70.0,910.0,32,-117.0718405639,39.49324039
Arizona,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,18 years and older,Female,Other,0.1,0.06,0.34,90.0,13400.0,4,-111.7638112769,34.86597028
Missouri,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,65 years and older,Female,Unknown,0.76,0.25,1.76,60.0,660.0,29,-92.56630005299,38.635790776
Michigan,Other Visual Disturbances,Color blindness,65 years and older,All genders,North American Native,0.0,0.0,3.45,110.0,110.0,26,-84.71439026999,44.661319543
North Dakota,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,40-64 years,All genders,Other,1.88,0.76,3.83,30.0,370.0,38,-100.1184210489,47.475319779
Iowa,Age Related Macular Degeneration,Vision threatening stage,18 years and older,Male,All races,0.01,0.01,0.02,20.0,144400.0,19,-93.81649055599,42.469400913
Rhode Island,Diabetic Eye Diseases,Other diabetes related eye disorders,65-84 years,All genders,All races,1.03,0.51,1.83,100.0,1100.0,44,-71.52247031399,41.708280193
South Carolina,Glaucoma,Secondary glaucoma,40-64 years,Female,Other,0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
Illinois,Diabetic Eye Diseases,Diabetic macular edema,18-39 years,Female,Asian,0.02,0.0,0.06,120.0,14700.0,17,-88.99771017799,40.485010283
Colorado,Age Related Macular Degeneration,Dry-form age-related macular degeneration,40-64 years,Female,"Hispanic, any race",0.15,0.08,0.25,10.0,10000.0,8,-106.1336109209,38.843840757
Massachusetts,Other Visual Disturbances,Other/unspecified visual disturbances,85 years and older,Female,Asian,0.0,0.0,5.6,110.0,60.0,25,-72.08269067499,42.27687047
New Mexico,Cornea Disorders,Other corneal disorders,40-64 years,Female,All races,0.29,0.26,0.33,240.0,81200.0,35,-106.2405809849,34.520880952
Virginia,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,85 years and older,Male,Other,0.07,0.04,0.36,70.0,8800.0,51,-78.45789046299,37.542680674
Puerto Rico,Glaucoma,Suspect or unclassified glaucoma,18 years and older,Female,"Black, non-Hispanic",0.01,0.0,0.26,90.0,15100.0,72,-66.590149,18.220833
Illinois,Infectious and Inflammatory Diseases,Conjunctivitis,All ages,Female,Asian,2.86,2.72,3.01,1400.0,50300.0,17,-88.99771017799,40.485010283
Louisiana,Other Retinal Disorders,Central retinal vein occlusion,65 years and older,Female,"Hispanic, any race",0.0,0.0,2.29,130.0,160.0,22,-92.44568007099,31.312660644
Indiana,Other Retinal Disorders,Central retinal arterial occlusion,18-39 years,Male,"White, non-Hispanic",0.04,0.02,0.33,70.0,15400.0,18,-86.14996019399,39.766910452
Kentucky,Glaucoma,Other/unspecified glaucoma,0-17 years,Female,Asian,0.02,0.01,0.56,90.0,7000.0,21,-84.77497104799,37.645970271
Nevada,Cornea Disorders,Cornea disorder related to contact lens,18-39 years,Male,"White, non-Hispanic",0.01,0.0,0.03,70.0,36500.0,32,-117.0718405639,39.49324039
Texas,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,40 years and older,Male,"Hispanic, any race",0.66,0.56,0.76,170.0,26500.0,48,-99.42677020599,31.827240407
Wisconsin,Other Retinal Disorders,Non-Occlusive retinal vascular disease,65-84 years,All genders,"White, non-Hispanic",0.0,0.0,0.68,70.0,540.0,55,-89.81637074199,44.393191174
Kansas,Cancer and Neoplasms of the Eye,Benign neoplasm,40-64 years,All genders,All races,0.36,0.29,0.44,100.0,27500.0,20,-98.20078122699,38.3477403
Illinois,Other Retinal Disorders,Branch retinal vein occlusion,65 years and older,Female,Unknown,0.34,0.09,0.87,120.0,1200.0,17,-88.99771017799,40.485010283
District Of Columbia,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,65 years and older,Female,"White, non-Hispanic",0.0,0.0,6.16,50.0,60.0,11,-77.03196112699,38.890371385
Connecticut,Orbital and External Disease,Other/unspecified orbital and external disease,0-17 years,All genders,"White, non-Hispanic",0.05,0.04,0.06,40.0,92900.0,9,-72.64984095199,41.56266102
Missouri,Age Related Macular Degeneration,Dry-form age-related macular degeneration,18 years and older,All genders,North American Native,0.04,0.02,0.59,60.0,3900.0,29,-92.56630005299,38.635790776
Massachusetts,Cornea Disorders,All Cornea disorders,65-84 years,Male,Unknown,1.17,0.58,2.08,10.0,940.0,25,-72.08269067499,42.27687047
